TRACTCE10,BLOCKCE10,GEOID10,CTBLOCK,PLACE,CITY,TotalPop,Hispanic,White,Black,AmerIndian,Asian,Hawaii_Pac,Other,TwoPlus,TotUnits,OccUnits,VacUnits,ORIG_FID,POINT_X,POINT_Y
4100,2005,6.07E+13,41002005,66000,14,75,7,50,14,0,3,0,1,0,21,20,1,846,-117.1413751,32.71553862
1000,1014,6.07E+13,10001014,66000,14,92,15,59,9,0,4,0,1,4,53,52,1,847,-117.142254,32.76188464
1000,3007,6.07E+13,10003007,66000,14,112,22,71,1,0,15,0,0,3,59,57,2,848,-117.1422389,32.75816797
1000,1012,6.07E+13,10001012,66000,14,62,13,43,4,0,0,0,2,0,47,42,5,849,-117.1410123,32.76191193
1000,3011,6.07E+13,10003011,66000,14,10,0,10,0,0,0,0,0,0,10,8,2,850,-117.1447294,32.75863531
900,5005,6.07E+13,9005005,66000,14,44,9,30,5,0,0,0,0,0,26,25,1,851,-117.145963,32.75121316
1400,3011,6.07E+13,14003011,66000,14,70,34,27,2,0,3,0,0,4,42,41,1,852,-117.1365226,32.74666998
17030,1111,6.07E+13,170301111,66000,14,25,0,22,0,0,3,0,0,0,8,8,0,853,-117.1387111,33.01944194
1200,2004,6.07E+13,12002004,66000,14,144,47,58,25,0,4,0,0,10,78,72,6,854,-117.1311011,32.75821836
3902,2009,6.07E+13,39022009,66000,14,65,59,0,0,0,6,0,0,0,15,14,1,855,-117.1242442,32.69571009
10502,3013,6.07E+13,105023013,36294,8,95,49,27,13,0,3,2,0,1,55,46,9,856,-117.1173743,32.58524998
1100,1010,6.07E+13,11001010,66000,14,23,2,21,0,0,0,0,0,0,12,12,0,857,-117.1323658,32.76527144
1200,2003,6.07E+13,12002003,66000,14,117,60,36,16,0,5,0,0,0,55,51,4,858,-117.1311093,32.76008582
3902,1004,6.07E+13,39021004,66000,14,133,104,0,24,0,3,0,0,2,41,39,2,859,-117.1262523,32.69988165
10300,4016,6.07E+13,103004016,36294,8,9,0,6,0,0,0,0,1,2,7,5,2,860,-117.118482,32.57960362
10200,2002,6.07E+13,102002002,36294,8,20,8,10,0,0,0,0,0,2,9,7,2,861,-117.1203819,32.57562309
17030,1090,6.07E+13,170301090,66000,14,426,75,187,32,1,96,0,5,30,153,151,2,862,-117.1211316,33.02075662
4100,3015,6.07E+13,41003015,66000,14,61,37,22,2,0,0,0,0,0,27,24,3,864,-117.1306655,32.7145411
4000,2008,6.07E+13,40002008,66000,14,61,46,5,10,0,0,0,0,0,24,20,4,865,-117.1263076,32.70616289
4000,3000,6.07E+13,40003000,66000,14,46,46,0,0,0,0,0,0,0,10,8,2,866,-117.126341,32.71139774
8358,4000,6.07E+13,83584000,66000,14,240,44,17,7,0,165,0,0,7,104,97,7,867,-117.1340696,32.91294332
1500,1008,6.07E+13,15001008,66000,14,53,6,39,0,0,5,0,0,3,28,27,1,868,-117.1247327,32.74469117
4300,2005,6.07E+13,43002005,66000,14,64,18,40,2,0,1,0,0,3,37,35,2,869,-117.1279503,32.74014703
10200,4003,6.07E+13,102004003,36294,8,51,16,27,2,0,4,0,1,1,24,24,0,870,-117.1284927,32.57937181
10200,2007,6.07E+13,102002007,36294,8,21,1,20,0,0,0,0,0,0,9,7,2,871,-117.1223053,32.57375387
10200,3005,6.07E+13,102003005,36294,8,78,24,50,0,0,4,0,0,0,39,34,5,872,-117.128477,32.5822705
11902,4013,6.07E+13,119024013,50398,11,49,19,2,3,0,24,0,0,1,12,12,0,873,-117.0847913,32.69031445
9202,2037,6.07E+13,92022037,66000,14,2,0,2,0,0,0,0,0,0,2,2,0,874,-117.1332787,32.7850988
17030,1114,6.07E+13,170301114,66000,14,388,39,239,5,1,86,2,2,14,132,130,2,878,-117.1462184,33.01748678
17029,1086,6.07E+13,170291086,66000,14,19,0,17,0,0,0,0,0,2,7,6,1,879,-117.1597523,32.99356377
8335,3030,6.07E+13,83353030,66000,14,55,1,40,0,0,11,0,0,3,15,15,0,881,-117.163059,32.96662742
8335,3006,6.07E+13,83353006,66000,14,73,9,35,0,0,28,1,0,0,25,25,0,882,-117.1399279,32.97618864
8335,3035,6.07E+13,83353035,66000,14,110,9,62,0,0,35,0,0,4,60,52,8,883,-117.1548403,32.96385026
8328,1022,6.07E+13,83281022,66000,14,52,1,20,0,0,23,0,0,8,15,14,1,884,-117.1900382,32.96461763
8328,1043,6.07E+13,83281043,66000,14,6,0,1,4,0,0,0,0,1,2,2,0,885,-117.1938903,32.96242582
8328,1037,6.07E+13,83281037,66000,14,96,17,36,1,0,40,0,0,2,27,27,0,886,-117.1914808,32.96247113
8328,1002,6.07E+13,83281002,66000,14,137,9,62,2,0,59,0,0,5,38,37,1,888,-117.1939307,32.96370056
21500,1009,6.07E+13,215001009,66000,14,70,10,37,0,0,16,0,0,7,19,19,0,889,-117.1993123,32.9571551
21500,1010,6.07E+13,215001010,66000,14,90,2,47,0,0,41,0,0,0,23,23,0,890,-117.1982562,32.95613201
8366,1020,6.07E+13,83661020,66000,14,19,0,19,0,0,0,0,0,0,7,7,0,892,-117.1606128,32.95258869
20903,3295,6.07E+13,209033295,99999,19,2,0,2,0,0,0,0,0,0,1,1,0,894,-116.626975,33.10064135
21204,1014,6.07E+13,212041014,1192,19,56,11,45,0,0,0,0,0,0,21,19,2,896,-116.8060267,32.81747158
21206,1049,6.07E+13,212061049,1192,19,115,10,96,0,0,4,0,0,5,46,44,2,899,-116.7740023,32.84178812
